0;1;2;3;4;5;6;7;8;9;10;20_похожих
Искусственный разум;Фантастика;Драма;Альтернативная реальность;Современное кино (2000–2020);7.924;594;Artificial Intelligence: AI;7.2;6.7;;"Донни Дарко;Прибытие;Господин Никто;Человек с Земли;Фонтан;Ванильное небо;Облако;Другая Земля;За гранью;Дети моря;Ева: Искусственный разум;Предчувствие;Множество;Конгресс;Жизнь за гранью;Комната желаний;Трудно быть богом;Трудно быть Богом;Источник;Индиго"
Фантастическая четверка: Вторжение Серебряного серфера;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);6.516;178557;4: Rise of the Silver Surfer;5.6;4.8;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи"
Чужой: Завет;Фантастика;Ужасы;Космическая;Современное кино (2000–2020);6.087;695548;Alien: Covenant;6.4;6.3;;"Жизнь;Прометей;Пандорум;Ловец снов;Лайф;Последние дни на Марсе;Призраки Марса;Инопланетное похищение;Скайлайн;В плену у космоса;Чужой;Вирус;Пришельцы 2: Коридоры времени;Сквозь горизонт;Чужой 3;Спутник;Чужой 4: Воскрешение;Особь;Дальний космос;Особь 2"
Звездные войны: Эпизод 2 — Атака клонов;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);7.986;844;Star Wars: Episode II - Attack of the Clones;6.6;6.5;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи;Валериан и город тысячи планет"
День независимости: Возрождение;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);5.44;505827;Independence Day: Resurgence;5.2;4.3;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи"
Предчувствие;Фантастика;Драма;Альтернативная реальность;Современное кино (2000–2020);7.278;195239;Premonition;5.9;3.8;;"Донни Дарко;Прибытие;Господин Никто;Человек с Земли;Искусственный разум;Фонтан;Ванильное небо;Облако;Другая Земля;За гранью;Дети моря;Ева: Искусственный разум;Множество;Конгресс;Жизнь за гранью;Комната желаний;Трудно быть богом;Трудно быть Богом;Источник;Индиго"
Врата Штейна: Дежавю;Фантастика;Триллер;Альтернативная реальность;Современное кино (2000–2020);7.859;718442;Steins;Gate Movie: Fuka Ryouiki no Deja vu;7.8;0;"Сигнал;Мир Дикого Запада;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Исходный код;Хранители;Пиджак;Петля времени;Меняющие реальность;Скрижали судьбы;Предел риска;Вход в никуда;Без границ;Матрица времени;ARQ;Пуленепробиваемый;Круг"
Континуум;Фантастика;Боевик (Экшен);Киберпанк;Современное кино (2000–2020);6.446;711454;Project Almanac;6.4;4.8;;"Апгрейд;Призрак в доспехах 2: Невинность;Аниматрица;Матрица: Перезагрузка;Аниматрица: История одного ребенка;Алита: Боевой ангел;Матрица: Революция;Робот по имени Чаппи;Трон: Наследие;Робот;Авалон;Робо;Матрица;Акира;Робокоп;РобоКоп;Четвертый;Призрак в доспехах;Нирвана;Джонни Мнемоник"
Планета Ка-Пэкс;Фантастика;Драма;Космическая;Современное кино (2000–2020);8.075;723;K-PAX;7.4;5.2;;"Интерстеллар;Луна;Луна 2112;Starперцы;К звездам;Космическая одиссея 2010;2001 год: Космическая одиссея;Солярис;Контакт;Выстрел в пустоту;Близкие контакты третьей степени;На Луне;Новая Земля;Воспоминания;Донни Дарко;Прибытие;Господин Никто;Человек с Земли;Искусственный разум;Ева"
Эффект бабочки 2;Фантастика;Триллер;Альтернативная реальность;Современное кино (2000–2020);4.658;197258;The Butterfly Effect 2;4.5;3.1;;"Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Исходный код;Хранители;Пиджак;Петля времени;Меняющие реальность;Скрижали судьбы;Предел риска;Вход в никуда;Без границ;Матрица времени;ARQ;Пуленепробиваемый"
Обитель зла 3;Фантастика;Боевик (Экшен);Постапокалипсис;Современное кино (2000–2020);6.576;88172;Resident Evil: Extinction;6.2;4.3;;"Поле битвы: Земля;Район 37;2012;Люди Икс: Дни минувшего будущего;Восстание планеты обезьян;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог;Планета обезьян: Революция;Metallica: Сквозь невозможное;Голодные игры;Планета обезьян: Война;Послезавтра;Обливион;Война миров Z;Книга Илая;Сквозь снег;Бегущий в лабиринте;Дивергент;Элизиум: Рай не на Земле"
Метеор – убийца;Фантастика;Боевик (Экшен);Космическая;Классика (до 2000 года);5.838;24731;Feng yu shuang liu xing;4.9;0;;"Шестой элемент;Ковбой Бибоп;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Звездные войны: Эпизод 6 — Возвращение Джедая;Чужие;Пятый элемент;Вспомнить все;Звездный путь 2: Гнев Хана;Звездный путь: Первый контакт;Звездный десант;День независимости;Армагеддон;Звездный путь 7: Поколения;Звездный путь: Возмездие;М-Агент;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов"
Люди Икс: Дни минувшего будущего;Фантастика;Боевик (Экшен);Постапокалипсис;Современное кино (2000–2020);7.728;597687;X-Men: Days of Future Past;7.9;7.5;;"Поле битвы: Земля;Район 37;2012;Восстание планеты обезьян;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог;Планета обезьян: Революция;Metallica: Сквозь невозможное;Голодные игры;Планета обезьян: Война;Послезавтра;Обливион;Война миров Z;Книга Илая;Сквозь снег;Бегущий в лабиринте;Дивергент;Элизиум: Рай не на Земле;Власть огня"
Особь 2;Фантастика;Ужасы;Космическая;Классика (до 2000 года);5.202;11876;Species II;4.5;3.3;;"Чужой;Вирус;Пришельцы 2: Коридоры времени;Сквозь горизонт;Чужой 3;Чужой 4: Воскрешение;Особь;Пришелец;Пришельцы;Жизнь;Прометей;Пандорум;Спутник;Чужой: Завет;Ловец снов;Лайф;Дальний космос;Последние дни на Марсе;Призраки Марса;Инопланетное похищение"
Аномалия;Фантастика;Боевик (Экшен);Альтернативная реальность;Новинки (2020–2025);5.514;769744;The Anomaly;4.7;3.6;;"Человек-Паук: Паутина Вселенных;Все везде и сразу;Довод;Заново родиться;Доктор Стрэндж: В мультивселенной безумия;На границе миров;Проект «Адам»;Коридор бессмертия;Кома;Ассасин: Битва миров;Захватывающее время;Бесконечность;Охотник на монстров;За пределами Вселенной;Невидимки;Начало;Район №9;День Доктора;Грань будущего;Эквилибриум"
Монстры;Фантастика;Ужасы;Постапокалипсис;Современное кино (2000–2020);7.352;1435087;Monster;7.8;0;;"28 недель спустя;Я - легенда;Я — легенда;Эпидемия. Вонгозеро;Платформа;Птичий короб;Аннигиляция;Девятки;Атака Юрского периода;Противостояние;Годзилла;Остров доктора Моро;Жизнь;Прометей;Пандорум;Чужой: Завет;Виктор Франкенштейн;Ловец снов;Лайф;Мерцающий"
Доктор Стрэндж: В мультивселенной безумия;Фантастика;Боевик (Экшен);Альтернативная реальность;Новинки (2020–2025);6.504;1219909;Doctor Strange in the Multiverse of Madness;6.9;6.5;;"Человек-Паук: Паутина Вселенных;Все везде и сразу;Довод;Заново родиться;На границе миров;Проект «Адам»;Коридор бессмертия;Кома;Ассасин: Битва миров;Захватывающее время;Бесконечность;Охотник на монстров;За пределами Вселенной;Аномалия;Невидимки;Начало;Район №9;День Доктора;Грань будущего;Эквилибриум"
Эволюция;Фантастика;Комедия;Космическая;Современное кино (2000–2020);6.985;5413;Evolution;6.1;4.9;;"Футурама: В дикую зеленую даль;Футурама: Зверь с миллиардом спин;Незнайка на Луне 2;Незнайка на Луне;Случай в квадрате 36-80;Люди в черном;Интерстеллар;Доктор Кто: Мужья Ривер Сонг;Путешествие на край Вселенной;Жизнь;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Луна;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Аватар;Марсианин;Звездный путь;Планета Ка-Пэкс"
Гренландия;Фантастика;Боевик (Экшен);Постапокалипсис;Новинки (2020–2025);6.915;1164520;Greenland;6.4;6.3;;"Гонка на вымирание;Титан: После гибели Земли;День первый;Голодные игры: Баллада о певчих птицах и змеях;Вторжение динозавра;Мой создатель;Новая эра Z;Черный квадрат;Небо падших;Поступь хаоса;Эра выживания;Вторжение: Битва за рай;Пустошь тьмы и зла;Закат цивилизации;Следопыт;Потерянное будущее;Код апокалипсиса;Поле битвы: Земля;Район 37;Терминатор 2 - 3D"
Последние дни на Марсе;Фантастика;Ужасы;Космическая;Современное кино (2000–2020);5.548;566111;The Last Days on Mars;5.5;4.7;;"Жизнь;Прометей;Пандорум;Чужой: Завет;Ловец снов;Лайф;Призраки Марса;Инопланетное похищение;Скайлайн;В плену у космоса;Чужой;Вирус;Пришельцы 2: Коридоры времени;Сквозь горизонт;Чужой 3;Спутник;Чужой 4: Воскрешение;Особь;Дальний космос;Особь 2"
Робокоп 2;Фантастика;Боевик (Экшен);Киберпанк;Классика (до 2000 года);6.845;4061;RoboCop 2;5.8;4.7;;"Матрица;Акира;Робокоп;РобоКоп;Призрак в доспехах;Нирвана;Джонни Мнемоник;Виртуозность;Случайный доступ;Робокоп 3;Андроид-полицейский;Апгрейд;Призрак в доспехах 2: Невинность;Аниматрица;Матрица: Перезагрузка;Аниматрица: История одного ребенка;Алита: Боевой ангел;Матрица: Революция;Робот по имени Чаппи;Трон: Наследие"
Вторжение;Фантастика;Боевик (Экшен);Космическая;Новинки (2020–2025);6.095;1045582;;5.6;0;;"Дюна;Во власти Луны;Вечные;Бессмертные: Война миров;Падение Луны;Война миров: Вторжение;Звездный рубеж;Шестой элемент;Ковбой Бибоп;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Звездные войны: Эпизод 6 — Возвращение Джедая;Чужие;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Пятый элемент;Звездный путь"
Черновик;Фантастика;Боевик (Экшен);Альтернативная реальность;Современное кино (2000–2020);5.178;893681;;4.5;0;;"Начало;Район №9;День Доктора;Грань будущего;Эквилибриум;Дежавю;Вступление;Патруль времени;Хранитель времени;Время;Другой мир 2: Эволюция;Тихоокеанский рубеж;Мы из будущего;Районы;Вне времени;Код 8;Хроника;Телепорт;Побеждая время;Суррогаты"
Нирвана;Фантастика;Боевик (Экшен);Киберпанк;Классика (до 2000 года);6.687;309394;;5.9;0;;"Матрица;Акира;Робокоп;РобоКоп;Призрак в доспехах;Джонни Мнемоник;Виртуозность;Случайный доступ;Робокоп 2;Робокоп 3;Андроид-полицейский;Апгрейд;Призрак в доспехах 2: Невинность;Аниматрица;Матрица: Перезагрузка;Аниматрица: История одного ребенка;Алита: Боевой ангел;Матрица: Революция;Робот по имени Чаппи;Трон: Наследие"
Война миров: Вторжение;Фантастика;Боевик (Экшен);Космическая;Новинки (2020–2025);5.014;1389732;War of the Worlds: The Attack;3.2;0;;"Дюна;Во власти Луны;Вечные;Бессмертные: Война миров;Вторжение;Падение Луны;Звездный рубеж;Шестой элемент;Ковбой Бибоп;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Звездные войны: Эпизод 6 — Возвращение Джедая;Чужие;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Пятый элемент;Звездный путь"
Марс Экспресс;Фантастика;Детектив;Космическая;Новинки (2020–2025);7.566;5304408;Mars Express;7.5;7.8;;"Секретные материалы: Борьба за будущее;Первые на Луне;Зона 414;Мистериум. Начало;Шаровая молния;Астроскоп. Смотрим на звезды;Незнайка на Луне 2;Дюна;Выстрел в пустоту;Во власти Луны;На Луне;Стартрек: Бесконечность;Новая Земля;Спутник;Вечные;Бессмертные: Война миров;Звездная карта;Поколение Вояджер;Внеземное эхо;Вторжение"
За пределами Вселенной;Фантастика;Боевик (Экшен);Альтернативная реальность;Новинки (2020–2025);5.887;978979;The Beyond;4.9;0;;"Человек-Паук: Паутина Вселенных;Все везде и сразу;Довод;Заново родиться;Доктор Стрэндж: В мультивселенной безумия;На границе миров;Проект «Адам»;Коридор бессмертия;Кома;Ассасин: Битва миров;Захватывающее время;Бесконечность;Охотник на монстров;Аномалия;Невидимки;Начало;Район №9;День Доктора;Грань будущего;Эквилибриум"
Радиоволна;Фантастика;Детектив;Альтернативная реальность;Классика (до 2000 года);7.828;675;Frequency;7.4;6.5;;"Отель «У погибшего альпиниста»;Завещание профессора Доуэля;Мистериум. Начало;Шаровая молния;Бегущий по лезвию;Секретные материалы: Борьба за будущее;Назад в будущее;Назад в будущее 2;Заводной апельсин;Парк Юрского периода;Гаттака;Назад в будущее 3;Зеркало для героя;Открой глаза;Королевство кривых зеркал;Вторжение похитителей тел;Тринадцатый этаж;Куб;Мертвая зона;Чужие среди нас"
Звездный путь 2: Гнев Хана;Фантастика;Боевик (Экшен);Космическая;Классика (до 2000 года);7.369;6583;Star Trek II: The Wrath of Khan;7.7;8.1;;"Шестой элемент;Ковбой Бибоп;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Звездные войны: Эпизод 6 — Возвращение Джедая;Чужие;Пятый элемент;Вспомнить все;Звездный путь: Первый контакт;Звездный десант;День независимости;Армагеддон;Звездный путь 7: Поколения;Звездный путь: Возмездие;Метеор – убийца;М-Агент;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов"
Алита: Боевой ангел;Фантастика;Боевик (Экшен);Киберпанк;Современное кино (2000–2020);7.232;88173;Alita: Battle Angel;7.3;6;;"Апгрейд;Призрак в доспехах 2: Невинность;Аниматрица;Матрица: Перезагрузка;Аниматрица: История одного ребенка;Матрица: Революция;Робот по имени Чаппи;Трон: Наследие;Робот;Континуум;Авалон;Робо;Матрица;Акира;Робокоп;РобоКоп;Четвертый;Призрак в доспехах;Нирвана;Джонни Мнемоник"
Кибер;Фантастика;Боевик (Экшен);Киберпанк;Новинки (2020–2025);5.422;739892;Blackhat;5.5;4.9;;"Четвертый;Матрица: Воскрешение;Матрица;Акира;Робокоп;РобоКоп;Апгрейд;Призрак в доспехах 2: Невинность;Аниматрица;Матрица: Перезагрузка;Аниматрица: История одного ребенка;Алита: Боевой ангел;Матрица: Революция;Робот по имени Чаппи;Трон: Наследие;Робот;Континуум;Призрак в доспехах;Нирвана;Авалон"
Случай в квадрате 36-80;Фантастика;Комедия;Космическая;Классика (до 2000 года);6.888;43858;;5.9;0;;"Незнайка на Луне;Люди в черном;Незнайка на Луне 2;Футурама: В дикую зеленую даль;Футурама: Зверь с миллиардом спин;Эволюция;Назад в будущее;Бразилия;Путешествие во времени;Космическая одиссея 2010;2001 год: Космическая одиссея;Шестой элемент;Ангар 18;Ковбой Бибоп;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Звездные войны: Эпизод 6 — Возвращение Джедая;Чужие;Солярис;Чужой"
Вторжение динозавра;Фантастика;Боевик (Экшен);Постапокалипсис;Новинки (2020–2025);6.548;250278;Gwoemul;7.1;7.7;;"Гонка на вымирание;Титан: После гибели Земли;День первый;Голодные игры: Баллада о певчих птицах и змеях;Гренландия;Мой создатель;Новая эра Z;Черный квадрат;Небо падших;Поступь хаоса;Эра выживания;Вторжение: Битва за рай;Пустошь тьмы и зла;Закат цивилизации;Следопыт;Потерянное будущее;Код апокалипсиса;Поле битвы: Земля;Район 37;Терминатор 2 - 3D"
Скайлайн;Фантастика;Ужасы;Космическая;Современное кино (2000–2020);4.72;493223;Skyline;4.5;3.6;;"Жизнь;Прометей;Пандорум;Чужой: Завет;Ловец снов;Лайф;Последние дни на Марсе;Призраки Марса;Инопланетное похищение;В плену у космоса;Чужой;Вирус;Пришельцы 2: Коридоры времени;Сквозь горизонт;Чужой 3;Спутник;Чужой 4: Воскрешение;Особь;Дальний космос;Особь 2"
Звездные войны: Эпизод 1 - Скрытая угроза;Фантастика;Приключения;Космическая;Классика (до 2000 года);7.925;6695;Star Wars: Episode I - The Phantom Menace;6.5;6;;"Тайна третьей планеты;Звездный путь 4: Дорога домой;Черная дыра;Москва — Кассиопея;Звездные врата;Затерянные в космосе;Через тернии к звездам;Планета бурь;Туманность Андромеды;Доктор Кто: Мужья Ривер Сонг;Путешествие на край Вселенной;Аватар;Марсианин;Стартрек: Бесконечность;Хан Соло. Звездные войны: Истории;Джон Картер;Затура: Космическое приключение;Миссия на Марс;Телескоп Хаббл в 3D;Звездная карта"
Обитель зла: Возмездие;Фантастика;Боевик (Экшен);Постапокалипсис;Современное кино (2000–2020);5.31;581493;Resident Evil: Retribution;5.3;4.3;;"Поле битвы: Земля;Район 37;2012;Люди Икс: Дни минувшего будущего;Восстание планеты обезьян;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог;Планета обезьян: Революция;Metallica: Сквозь невозможное;Голодные игры;Планета обезьян: Война;Послезавтра;Обливион;Война миров Z;Книга Илая;Сквозь снег;Бегущий в лабиринте;Дивергент;Элизиум: Рай не на Земле"
Время;Фантастика;Боевик (Экшен);Альтернативная реальность;Современное кино (2000–2020);7.282;517988;In Time;6.7;5.3;;"Начало;Район №9;День Доктора;Грань будущего;Эквилибриум;Дежавю;Вступление;Патруль времени;Хранитель времени;Другой мир 2: Эволюция;Тихоокеанский рубеж;Мы из будущего;Районы;Вне времени;Код 8;Хроника;Телепорт;Побеждая время;Суррогаты;Люси"
Сквозь снег;Фантастика;Боевик (Экшен);Постапокалипсис;Современное кино (2000–2020);6.76;566283;Snowpiercer;7.1;8.2;;"Поле битвы: Земля;Район 37;2012;Люди Икс: Дни минувшего будущего;Восстание планеты обезьян;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог;Планета обезьян: Революция;Metallica: Сквозь невозможное;Голодные игры;Планета обезьян: Война;Послезавтра;Обливион;Война миров Z;Книга Илая;Бегущий в лабиринте;Дивергент;Элизиум: Рай не на Земле;Власть огня"
Футурама: Зверь с миллиардом спин;Фантастика;Комедия;Космическая;Современное кино (2000–2020);7.267;376446;Futurama: The Beast with a Billion Backs;7.1;0;;"Футурама: В дикую зеленую даль;Эволюция;Незнайка на Луне 2;Незнайка на Луне;Случай в квадрате 36-80;Люди в черном;Интерстеллар;Доктор Кто: Мужья Ривер Сонг;Путешествие на край Вселенной;Жизнь;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Луна;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Аватар;Марсианин;Звездный путь;Планета Ка-Пэкс"
Патэма наоборот;Фантастика;Приключения;Альтернативная реальность;Современное кино (2000–2020);7.402;684131;Sakasama no Patema;7.3;5.5;;"Доктор Кто: Глубокий вдох;Супер 8;Ловушка времени;Машина времени;Земля будущего;Лига выдающихся джентльменов;В ловушке времени;Мир будущего;Назад в будущее 2;Парк Юрского периода;Назад в будущее 3;Зеркало для героя;Аватар: Путь воды;Аватар 2: Путь воды;Назад во времени;Доктор Кто: Мужья Ривер Сонг;Путешествие на край Вселенной;Аватар;Марсианин;Девять"
Восхождение Юпитер;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);5.628;505966;Jupiter Ascending;5.3;4.5;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи"
Прометей;Фантастика;Ужасы;Космическая;Современное кино (2000–2020);7.025;4959136;;0;0;;"Жизнь;Пандорум;Чужой: Завет;Ловец снов;Лайф;Последние дни на Марсе;Призраки Марса;Инопланетное похищение;Скайлайн;В плену у космоса;Чужой;Вирус;Пришельцы 2: Коридоры времени;Сквозь горизонт;Чужой 3;Спутник;Чужой 4: Воскрешение;Особь;Дальний космос;Особь 2"
Грань будущего;Фантастика;Боевик (Экшен);Альтернативная реальность;Современное кино (2000–2020);7.943;505851;Edge of Tomorrow;7.9;7.5;;"Начало;Район №9;День Доктора;Эквилибриум;Дежавю;Вступление;Патруль времени;Хранитель времени;Время;Другой мир 2: Эволюция;Тихоокеанский рубеж;Мы из будущего;Районы;Вне времени;Код 8;Хроника;Телепорт;Побеждая время;Суррогаты;Люси"
